-82,9
-91,16
-54,11
-72,13
-83,30
-69,25
-90,9
-81,12
-59,5
-91,39
-80,11
-59,21
-72,15
-79,4
-58,8
-188,48
-85,4
-96,43
-60,6
-101,26
-80,7
-16,49
-94,14
-70,4
-77,33
-100,49
-72,8
-64,21
-42,5
-91,8
-61,5
-60,31
-71,18
-92,7
-62,19
-52,9
-58,6
-87,6
-146,47
-81,9
-68,6
-95,10
-63,11
-68,26
-55,22
-86,7
-56,8
-83,25
-74,12
-28,49
-94,7
-54,43
-107,14
-37,19
-104,36
-79,8
-67,7
-83,12
-87,8
-84,5
-64,4
-75,4
-80,34
-97,20
-79,4
-47,10
-77,4
-66,8
-82,5
-95,12
-97,12
-65,48
-52,4
-87,8
-79,4
-85,18
-69,4
-84,15
-130,26
-121,46
-60,17
-77,10
-61,5
-7,49
-82,5
-60,4
-75,5
-67,5
-80,29
-94,7
-84,5
-104,9
-72,19
-94,7
-73,13
-81,17
-79,17
-77,9
-100,19
-70,10
-78,5
-97,12
-91,17
-74,10
-69,9
-79,16
-78,35
-69,5
-77,4
-55,10
-82,5
-48,5
-78,10
-52,49
-100,16
-90,16
-39,13
-67,5
-70,8
-66,6
-75,39
-100,11
-85,8
-41,6
-68,6
-54,6
-110,28
-87,6
-87,21
-57,8
-66,5
-73,17
-85,12
-110,21
-77,13
-81,34
-70,30
-66,8
-71,12
-23,49
-66,22
-63,14
-72,18
-62,6
-85,8
-92,19
-99,21
-75,9
-122,19
-79,10
-64,21
-88,48
-95,10
-58,4
-67,5
-44,5
-90,25
-61,5
-129,27
-75,4
-84,5
-76,5
-122,28
-62,10
-95,36
-84,5
-88,19
-99,24
-131,22
-60,15
-78,12
-64,4
-100,28
-138,44
-46,49
-65,24
-52,4
-26,8
-24,6
-93,10
-73,11
-34,10
-67,4
-63,9
-83,4
-3,49
-94,16
-79,8
-79,4
-76,5
-112,43
-53,6
-79,16
-129,29
-82,9
-58,4
-61,11
-81,13
-93,13
-82,18
-111,29
-72,9
-80,14
-114,38
-77,13
-95,16
-56,4
-64,4
-79,31
-75,18
-69,29
-58,4
-79,16
-50,27
-68,6
-138,36
-73,4
-84,7
-73,38
-68,8
-79,29
-94,36
-87,15
-59,49
-41,49
-76,5
-47,13
-68,28
-97,8
-83,6
-62,19
-59,9
-102,9
-72,19
-72,6
-76,8
-53,16
-87,6
-79,4
-90,11
-80,24
-134,34
-71,9
-61,34
-78,7
-73,4
-82,7
-66,48
-77,21
-102,13
-82,16
-42,36
-40,8
-71,4
-39,13
-64,4
-60,15
-68,6
-59,30
-130,22
-97,19
-87,8
-111,20
-79,8
-64,17
-92,9
-89,12
-59,7
-63,32
-47,4
-131,43
-59,12
-72,27
-89,9
-63,20
-74,6
-11,49
-65,4
-154,45
-60,17
-82,5
-37,4
-77,13
-88,7
-31,26
-81,6
-122,43
-170,49
-97,12
-69,11
-43,4
-90,14
-131,32
-107,32
-97,21
-90,11
-65,32
-82,16
-79,29
-70,6
-65,5
-38,15
-40,18
-95,16
-60,28
-84,5
-46,14
-46,29
-94,14
-48,5
-65,7
-61,30
-115,49
-108,13
-79,4
-89,11
-84,5
-99,12
-67,13
-65,5
-69,5
-80,12
-99,14
-64,4
-67,5
-108,16
-21,25
-29,49
-89,8
-70,10
-68,6
-88,9
-88,5
-75,4
-91,11
-52,13
-21,12
-38,37
-87,6
-64,49
-64,4
-79,4
-60,13
-87,6
-102,37
-92,7
-55,21
